"name1","name2","street1","street2","city","state","zip","zip4","county","phone","intake_prompt","intake1","intake2","website","latitude","longitude","type_facility","sa","dt","mm","dm","bum","db","rpn","bu","nxn","vtrl","meth","hh","noop","pain","nmoa","moa","ubn","otp","cbt","dbt","tele","saca","trc","smon","smpd","smop","hi","res","op","rs","rl","rd","od","omb","odt","oit","ort","hid","hit","ct","gh","psyh","vamc","tbg","ih","stg","lccg","ddf","stag","stmh","stdh","hla","jc","carf","ncqa","coa","hfap","np","sf","md","mc","si","pi","mi","fsa","ss","pa","ah","sp","co","gl","vet","adm","mf","cj","se","ad","pw","wn","mn","hv","trma","xa","dv","tay","nsc","adtx","bdtx","cdtx","mdtx","odtx","tgd","ico","gco","fco","mco","twfa","bia","cmi","moti","ang","mxm","crv","relp","bc","chld","yad","adlt","fem","male","du","duo","acc","acm","acu","baba","ccc","cmha","csaa","daut","dp","dsf","dvfp","eih","emp","haec","heoh","hivt","isc","itu","mhs","opc","sae","shg","smhd","ssa","ssd","stdt","ta","taec","tbs","cm","fpsy","hs","nrt","peer","stu","tcc","bsdm","nu","mu","bwn","bwon","ub","un","beri","pvtp","pvtn","sumh","inpe","rpe","pc","naut","nmaut","acma","pmat","auinpe","aurpe","aupc","dlc","mhiv","mhcv","lfxd","clnd","copsu","daof","mst","noe","ofd","rc","piec","mdet","voc","hav","hbv","audo","mmd","mpep","fed","sotp","dea","samf","mhpa","hbt","hct","tod","vapn","vapp","vppd","oudo","nx","fx","mws","f17","f19","f25","f28","f30","f31","f35","f36","f37","f4","f42","f43","f47","f66","f67","f70","f81","f92","n24","n40"
"Washington Behavioral Health","","1954 Opitz Boulevard","Suite 007","Woodbridge","VA","22191","","","703-492-2924","","","703-492-8939","http://www.washingtonbehavioralhealth.com","38.635246","-77.274659","SU","1","","","","1","","1","1","1","1","","","","","","1","","","1","","1","1","1","","1","","","","1","","","","","1","","1","1","","","","","","","","","","","","1","1","","","","","","","","","1","","1","","1","1","","","","","","","","","","","","","","","","","","","","","","1","","","","","","1","1","1","","","","1","","","1","","","1","","1","","","1","1","","","1","1","","1","1","1","1","1","1","1","","","","1","1","1","1","","1","","1","","1","1","1","1","","1","","1","","","1","1","1","1","","1","","1","1","1","1","1","1","","1","1","","","","","1","1","1","","","","","","","1","","","","1","1","","","","","","","","1","","","","1","","1","1","1","1","","","1","","","1","1","","","","","","","","","","1","","","","","","","","","",""
"Woodbridge Methadone Treatment Center","","8427 Dorsey Circle","Suite 101","Manassas","VA","20110","","Manassas City","703-330-7517","","","800-440-6310","http://www.methadonetreatmentcenters.com","38.769746","-77.486385","SU","1","","1","","1","","","1","","","1","","","","","","","1","1","","1","1","","","1","","","","1","","","","","1","","","","","","","","","","","","","","","1","","","","","1","","","","","1","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","1","1","","","","1","","","1","1","1","1","","","1","","","1","","","1","1","1","","","","","","","","","","","1","1","","","1","","","1","","1","1","","1","","","","","","","1","1","","","","","1","","","","","","1","","","","","","","","","","","","","1","","1","1","","","","","","","","","","","1","1","","1","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"Prince William County","Community Services","7969 Ashton Avenue","","Manassas","VA","20109","","Prince William","703-792-7800","","703-792-5241","","http://www.pwcgov.org","38.7885772","-77.5190714","SU","1","","","","1","","1","1","1","1","","","","","","1","","","1","","1","1","1","","1","","","","1","","","","","1","","","1","","","","","","","","","","1","","1","1","","","","","","","","","1","1","1","","1","1","1","1","1","1","1","1","","","","","1","","1","1","1","1","","1","","","","","","","","","","","1","1","1","","","1","","1","","1","","1","","","","","1","1","","","1","1","","1","","1","1","1","1","1","","","1","1","1","","1","","1","1","1","1","1","1","","","1","1","","1","","1","1","1","","1","","1","","1","1","1","1","","","","1","","","1","","","1","1","","","1","","","","","1","","1","","1","1","","","","","","","","1","","","","","1","","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","",""
"Calvary Counseling Center","","9430 Forestwood Lane","Suite 103","Manassas","VA","20110","","Manassas City","703-530-9800","","","","http://www.calvarycounseling.com/","38.766482","-77.4780856","SU","1","","","","","","","","","","","","1","","","","","","1","","1","1","1","1","","","","","1","","","","","","","","1","","","","","","","","","","","","","","1","","","","","","","","1","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","1","1","1","","","1","","","","","1","1","1","","1","","","","","1","1","1","1","","","","1","","","","","","1","1","1","","1","1","","","","","","1","","1","","","1","","","","","","","","","","1","","1","","","","","1","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spero Health","","30 Town Center Drive","","Dublin","VA","24084","","Pulaski","540-779-7516","","540-779-7516 x1","","http://www.sperohealth.com","37.0926404","-80.6868593","SU","1","","","","1","1","1","1","1","1","","","","","","1","","","1","","1","1","","","1","","","","1","","","","","1","","","1","","","","","","","","","","","","","","","","","1","","","","","1","1","","","1","1","","","","1","","1","1","1","1","1","1","1","","1","1","1","1","1","1","1","1","","1","1","1","1","1","","1","1","","","","1","","","","","","1","","","1","1","1","1","","","1","","","1","","1","1","1","1","","","","","1","","1","","","","","1","","1","1","","","","1","","1","","1","","","1","1","","1","","1","1","1","1","","1","","","1","","1","","","1","1","1","1","1","","","1","","","1","1","1","1","","","","1","","","","","","","","","","","1","1","1","","","1","","","","","1","","","","","","","","","","","","","","","","","","","",""
"New River Valley Community Services","Giles Clinic","705 Wenonah Avenue","","Pearisburg","VA","24134","","Giles","540-921-2238","","540-961-8400","","http://nrvcs.org","37.327443","-80.7318141","SU","1","","","","","","","1","","","","","","","","1","","","1","","1","1","1","","1","","","","1","","","","","1","","","1","","","","","","","","","","1","","1","1","","","","","","","","","1","1","1","","1","1","1","1","","1","","","","","","","","","","","","","","","","","","1","","","","","","","1","","1","","","1","","1","1","","","1","","","","","1","1","","","1","1","","","","","1","1","1","","","","","","","","","","1","","1","","1","1","1","","","","1","1","","","","1","1","1","","","","1","","1","","1","","","1","","","1","","","","1","","","1","","","","","","","1","","1","1","","","","","","","","1","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Middle Peninsula Northern Neck CSB","Gloucester Counseling Center","9228 George Washington Mem Highway","","Gloucester","VA","23061","","Gloucester","804-693-5057","","","804-695-8100","http://www.mpnncsb.org","37.4348405","-76.5693679","SU","1","1","","","","","1","1","1","","","","","","","1","","","1","","1","1","1","","1","","","1","1","1","1","1","1","1","","1","1","","","","","","","","","","","","1","1","1","","","","","","","","1","1","1","1","1","1","1","1","","","","1","","","","","1","","","","","","","","","","","1","","","","","1","1","1","1","1","1","1","1","1","1","1","1","","1","","","","","1","1","","","1","","","1","","1","1","1","1","","","","1","","","","1","","1","","1","1","1","1","1","","1","","1","1","","1","","1","1","1","","1","","","1","","1","","","1","1","","1","1","","","1","","","1","1","","","","","1","1","1","","1","1","1","","1","1","","","","1","","","","","1","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Bacon Street Youth and Family Services","Gloucester Location","6523 Main Street","","Gloucester","VA","23061","","Gloucester","757-253-0111","","","","http://www.baconstreet.org","37.4153056","-76.529472","SU","1","","","","","","","1","","","","","","","","1","","","1","","1","1","1","1","","","","","1","","","","","","","","1","","","","","","","","","","","","1","1","","","","","","","","","1","1","","1","1","1","1","1","1","","","1","","","","","","","1","","","","","1","","","1","","","","","","","","1","1","1","1","","1","1","1","1","","1","1","","1","","1","1","1","","","1","","","","1","1","1","1","1","","","","","","1","","1","","1","1","1","1","1","1","1","","1","","","1","","1","","1","1","1","","","","1","","","","","","1","1","","","1","","","1","","","","1","","","","","","1","1","","1","1","","1","","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"American Addiction Treatment Center","","6983 C Mid County Drive","","Hayes","VA","23072","","Gloucester","804-824-2818","","","","http://","37.3337232","-76.5156877","SU","1","","1","","1","","","1","","","1","","","","","","","1","","","1","1","","1","","","","","1","","","","","1","","","1","","","","","","","","","","","","1","","1","","","1","","","","","1","1","1","","1","","","","","","","","","","","","","1","","1","1","1","","","","","","","","","","","","","1","1","1","","","1","1","1","","","","1","","","1","1","1","1","","","1","","","1","","","1","1","1","","","","1","","1","","","","","1","1","","1","1","1","1","1","","1","1","","1","","","1","1","","","1","1","1","","","","1","","","","","","1","","","","","","","","","","","","","","","1","1","","1","","1","","","","","","","","","","1","","","","1","","","1","","","1","","","","","","","","","","","","","","","","","","","",""
"Northwestern Community Services","Winchester Area Clinic","170 Prosperity Drive","","Winchester","VA","22602","","Frederick","540-636-4250","","540-667-8888 x1","","http://www.nwcsb.com","39.1196004","-78.2002206","SU","1","1","","","1","1","","1","1","1","","","","","","","","","1","","1","1","1","","1","","","","1","","","","1","1","","1","1","","","","","","","","","","1","","1","1","1","","","","","","","","1","1","1","","1","1","1","","","1","","1","","1","1","1","1","1","","1","1","1","1","1","","","1","","1","","","","1","","1","1","1","","1","1","1","1","1","1","1","1","","","1","1","1","1","1","","1","","1","1","","1","1","1","1","","","","1","1","1","1","1","","1","1","1","1","1","1","1","1","1","1","1","1","","1","1","1","1","1","","1","","1","1","1","1","1","","","1","","","","","1","","","","","","","","","","","1","1","1","","1","","","1","1","","","","1","","","","1","1","","1","1","","","","1","","","","1","","","","","","","","","","","","","","","","","","","",""
"Pinnacle Treatment Centers","American Addiction Treatment Center","12695 McManus Boulevard","Building 2","Newport News","VA","23602","","Newport News City","757-234-4139","","","","http://www.americanaddictiontreatmentcenter.net","37.1411004","-76.5135446","SU","1","","1","","1","","","1","","","1","","","","","","","1","1","","1","1","1","","1","","","","1","","","","","1","","","1","","","","","","","","","","","","1","1","1","","","1","","","","","1","1","1","","1","","","","","","","","","","","","","","","1","1","1","","","","","","","","","","","","","1","1","","","1","1","1","1","1","1","1","1","","","1","1","1","1","","","1","","","1","","","1","1","1","","","","","1","1","1","1","","","1","1","1","1","1","1","1","1","1","1","1","","1","","","1","1","","","1","1","1","","","","1","","","","","","1","","","","","","","","","","","","","","","1","1","","","","","","","","","","","1","1","","1","1","1","","1","","","1","","","1","","","","","","","","","","","","","","","","","","","",""
"New River Valley Community Services","Pulaski Center","327 North Washington Avenue","","Pulaski","VA","24301","","Pulaski","540-994-5023","","540-961-8400","","http://www.nrvcs.org","37.0494794","-80.7802969","SU","1","","","","","","","1","","","","","","","","1","","","1","","1","1","1","","1","","","","1","","","","","1","","","1","","","","","","","","","","1","","1","1","","","","","","","","","1","1","1","","1","1","1","1","","1","","","","","","","","","","","","","","","","","","1","","","","","","","1","","1","","","1","","1","1","","","1","","","","","1","1","","","1","1","","","","","1","1","1","","","","","","","","","","1","","1","","1","1","1","","","","1","1","","","","1","1","1","","","","1","","1","","1","","","1","","","1","","","","1","","","1","","","","","","","1","","1","1","","","","","","","","1","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"SUDCC","","9300 DeWitt Loop","","Fort Belvoir","VA","22060","5901","Fairfax","571-231-1374","","571-231-1375","","http://www.dhcintranet.amaddarmy.mil","38.7052552","-77.1433401","SU","1","1","","","1","1","1","1","1","1","","","","","","1","","","1","","1","1","1","1","","","1","1","1","1","","1","1","1","","","1","1","1","","1","","","","","","","1","1","","","","1","","","","","","","","","","1","1","1","","","","","1","1","1","1","1","","1","","1","1","1","1","1","1","1","1","1","1","1","1","","1","","1","1","1","1","1","1","","1","","","","1","","","1","1","1","1","","","1","1","","1","","1","1","1","1","1","1","","","","1","1","","","1","","1","1","1","1","1","1","","","","","","","1","","1","1","","1","","1","1","1","1","","","","","1","","","","","1","1","1","1","","1","","","","1","1","","1","1","","","","1","","1","1","","1","","1","","","","1","1","1","1","1","","","","","","1","","","","","","","","","","","","","","","","","","","",""
"Fairfax/Falls Church Comm Servs Board","Cornerstones","4211 Walney Road","","Chantilly","VA","20151","","Fairfax","703-324-7000","","703-383-8500","","http://www.fairfaxcounty.gov/community-services-board/","38.8882906","-77.4337548","SU","1","","","","1","","","1","1","1","","","","","","","","","","","","1","1","","1","","","1","","","1","","","","","","","","","","","","","","","","1","","1","1","","","","","","","","","1","1","1","","1","1","1","1","1","1","","1","","","","","","","","","1","1","","","","","","","","","","","","","1","1","1","","","","","1","","","","1","","","1","1","1","1","","","1","","","1","","","","1","1","","1","1","1","1","1","1","","","1","","1","1","","","1","1","","1","1","1","","1","1","1","","1","","1","","1","1","1","1","","","","1","","","","","","","1","","","1","","","","","","","1","1","1","1","1","","","1","","","","1","","","","","1","","1","1","","","","1","","","","1","","","","","","","","","","","","","","","","","","","",""
"Fairfax/Falls Church Comm Servs Board","Fairfax Detox Center","4213 Walney Road","","Chantilly","VA","20151","","Fairfax","703-324-7000","","703-383-8500","","http://www.fairfaxcounty.gov/community-services-board/","38.8884805","-77.4326807","SU","","1","","","1","1","","1","1","1","","","","","","","","","","","","1","1","","1","","","1","","","","1","","","","","","","","","","","","","","","1","","1","1","","","","","","","","","1","1","1","","1","1","1","1","1","1","","","","","","","","","","","1","1","","","","","","","1","1","1","1","1","","1","1","1","","","","","1","","","","1","","","1","1","1","1","","","1","","1","1","","","","1","1","","1","1","1","1","1","1","","","1","","1","1","","","1","1","","1","1","1","","1","1","1","","1","","1","","1","1","1","1","","","","","","","","","","","1","","","1","","","","","","","1","1","1","1","1","","1","1","","","","1","","","","","1","","1","1","","","","1","","","","1","","","","","","","","","","","","","","","","","","","",""
"Fairfax/Falls Church Comm Servs Board","A New Beginning","4213 Walney Road","","Chantilly","VA","20151","","Fairfax","703-324-7000","","703-383-8500","","http://www.fairfaxcounty.gov/community-services-board/","38.8884805","-77.4326807","SU","1","","","","1","","","1","1","1","","","","","","","","","","","","1","1","","1","","","1","","","1","","","","","","","","","","","","","","","","1","","1","1","","","","","","","","","1","1","1","","1","1","1","1","1","1","","","","","","","","","","","1","1","","","","","","","","","","","","","1","1","1","","","","","1","","","","1","","","1","1","1","1","","","1","","","1","","","","1","1","","1","1","1","1","1","1","","","1","","1","1","","","1","1","","1","1","1","","1","1","1","","1","","1","","1","1","1","1","","","","1","","","","","","","1","","","1","","","","","","","1","1","1","1","1","","","1","","","","1","","","","","1","","1","1","","","","1","","","","1","","","","","","","","","","","","","","","","","","","",""
"Crossroads Treatment Centers","Winchester","500 Pegasus Court Business Center","Suite 508","Winchester","VA","22602","","Frederick","800-805-6989","","","","http://crossroadstreatmentcenters.com","39.1446272","-78.1502524","SU","1","","","","","","","","","","","","","","","","","","","","","1","","","1","","","","1","","","","","1","","","1","","","","","","","","","","","","1","","1","","","1","","","","","1","1","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","1","","1","","","1","1","1","1","","","","","","1","","","1","1","1","","","","","","","1","","1","","1","1","","1","1","1","1","","","1","1","","","","","1","","","","","","","","","","1","","","","","","1","","","","","","","","","","","","","1","","1","","","","","","","","","","","","1","1","1","1","1","1","","","","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"Crossroads Treatment Centers","Winchester PC","500 Pegasus Court","Suite 500","Winchester","VA","22602","","Frederick","540-313-4196","","","800-805-6989","http://www.crossroadstreatmentcenters.com","39.1446272","-78.1502524","SU","1","1","1","1","1","1","","1","","","1","","","","","1","","1","","","1","1","","","1","","","","1","","","","1","1","","","1","","","","","","","","","","","","1","","1","","","1","","","","","1","1","1","1","1","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","1","","1","1","","","","","","","","","","1","","","1","1","1","1","","","1","","","1","","","1","1","1","","","","","1","1","","","","","1","1","","","1","","","","1","1","1","","1","","","","1","","","1","1","1","1","","","1","","","","1","1","1","","","","","","","","","","","","","","","1","1","","","1","","","","","","","","1","1","","1","","","","","","1","1","","","1","","","","","","","","","","","","","","","","","","","",""
"VAMED Health Group LLC","WI","2281 Valley Avenue","","Winchester","VA","22601","","Winchester City","540-215-2211","","","","http://www.vamedicaid.net","39.1612256","-78.1861128","SU","1","","","","1","","1","1","1","1","","","","","","","","","1","","1","1","1","","1","","","","1","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","","","","","","","","","","","","","","","1","","","","","","","","1","","","","","","","1","1","1","","1","","1","1","","1","","1","","1","","","1","1","","","1","1","","1","","1","1","1","1","1","","1","1","1","1","1","1","","1","1","1","","1","1","1","1","","1","1","1","","1","1","1","1","1","1","1","","1","1","1","1","1","1","","1","","","","","","","1","1","","","","","","","","","1","1","1","1","1","","","","","","","1","1","","","","","","1","1","","","","1","","","","1","","","","","","","","","","","","","","","","","","","",""
"Atlas Counseling Center","","174 Costello Drive","","Winchester","VA","22602","","Frederick","540-722-6238","","","","http://www.atlascounselingcenter.com","39.1561377","-78.1568674","SU","1","","","","","","","","","","","","","","","1","","","1","","1","1","1","","1","","","","1","","","","","","","1","1","","","","","","","","","","","","1","1","1","","1","","","","","","1","1","","","1","","","","","","","1","","","","","","","1","","1","1","","1","","","1","","","","","","","1","1","1","1","1","1","1","1","1","1","1","","1","","","","","1","1","1","","1","","","1","","1","1","1","1","","","","","1","1","","","","1","1","1","","1","1","","","","1","","","","","","1","1","1","","","","","","","","","1","","1","","1","","","","1","","","1","1","","","","","","1","1","","","1","1","","","","","","","","","","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"ARS of Virginia LLC","","210 Front Royal Pike","","Winchester","VA","22602","","Frederick","540-545-8794","","540-545-8795","","http://www.arshealth.com","39.158833","-78.158231","SU","1","","1","","1","","","1","","","1","","","","","","","1","1","","1","1","","","1","","","","1","","","","","1","","","","","","","","","","","","","","","1","","1","","","1","","","","","1","1","1","","1","1","","","","","1","1","1","1","","","","1","","1","1","1","1","1","","","","","","","","","","","1","1","","","","1","","1","","","","1","","","1","1","1","1","","","1","","","1","","","1","1","1","","","","1","1","1","1","","","","","1","","1","1","1","1","1","1","1","1","","1","","","1","1","","","1","1","","","","","1","","","","","","1","","","","","","","","","","","","","1","","1","1","","","","","","","","","","","1","1","","1","","1","","","","1","1","","","1","","","","","","","","","","","","","","","","","","","",""
"Winchester Community MH Center Inc","","36 Ricketts Drive","","Winchester","VA","22601","","Winchester City","540-535-1112","","","","http://www.Winchestercmhc.com","39.1652632","-78.1722137","SU","1","","","","1","","1","1","1","1","","","","","","1","","","1","","1","1","1","","1","","","","1","","","","","1","1","1","1","","","","","","","","","","","","","","","","","1","","","","","1","1","1","1","1","1","","","","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","","","","1","1","1","1","1","1","1","1","1","1","1","1","1","","","","","1","1","","","1","","","1","1","1","1","1","1","","1","1","1","1","1","1","1","","1","1","1","1","1","1","1","1","1","1","1","1","","1","1","1","1","1","1","1","","1","1","1","1","1","1","","1","1","1","1","","","1","1","1","1","1","","","","","1","1","1","1","1","1","1","1","","1","","","","1","","","","","","1","1","1","1","","","1","1","","1","","","","","","","","","1","","","","","","","","","","","",""
"Crossroads Treatment Centers","Suffolk PC","1258 Holland Road","","Suffolk","VA","23434","","Suffolk City","757-809-4771","","","800-805-6989","http://crossroadstreatmentcenters.com","36.7299848","-76.6160757","SU","1","1","1","1","1","1","","1","","","1","","","","","1","","1","","","1","1","","","1","","","","1","","","","1","1","","","1","","","","","","","","","","","","1","","1","","","1","","","","","1","1","1","1","1","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","1","","1","1","","","","","","","","","","1","","","1","1","1","1","","","1","","","1","","","1","1","1","","","","","1","1","","","","","1","1","","","1","","","","1","1","1","","1","","","","1","","","1","1","1","","","","1","","","","1","1","1","","","","","","","","","","","","","","","1","1","","","1","","","","","","","","1","1","","1","","","","","","1","1","","","1","","","","","","","","","","","","","","","","","","","",""
"Western Tidewater Community Services","Suffolk Service Center","1000 Commercial Lane","","Suffolk","VA","23434","","Suffolk City","757-942-1069","","757-758-5106","","http://www.wtcsb.org","36.7788371","-76.5806548","SU","1","1","","","1","1","1","1","1","1","","","","","","1","","","1","","1","1","1","","1","","","","1","","","","1","1","","","1","","","","","","","","","","1","","1","","","","","","","","","","1","1","1","1","1","1","1","1","","","","","","","","","","","","1","","","","","","","","1","1","1","1","1","1","1","1","1","1","1","","","","1","1","","","1","","","","","1","1","","","1","","","","","1","1","","1","1","1","","","1","1","","1","","1","1","1","","1","1","1","","1","1","","1","","1","1","1","1","1","","1","","1","1","1","1","1","","","1","","","1","","","","1","","","1","1","","","","1","","","1","1","","","","1","","","","","1","","","","","1","1","","","1","","1","","","","","1","","","","","","","","","","","","","","","","","","","",""
"South County Youth Services","","8350 Richmond Highway","Suite 515","Alexandria","VA","22310","","Fairfax","703-704-6707","","703-383-8500","","http://www.fairfaxcounty.gov/csb","38.7314701","-77.104447","SU","1","","","","","","","","","","","","","","","1","","","","","1","1","1","","1","","","","1","","","","","","","","1","","","","","","","","","","1","","1","1","","","","","","","","","1","1","1","","1","1","1","1","1","1","1","1","","","","","","","1","","","","","","","","1","","","","","","","","1","1","1","","","1","","","","","","1","","","1","1","1","1","","","1","","","1","","1","1","1","1","","","1","","1","1","","1","","1","","1","","1","1","1","","","1","1","1","","1","","","1","1","","","","","","","","","","","1","","","1","","","1","","","","1","","","","","","","1","1","1","1","","","","","","","","1","","","","","1","","1","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Council on Alcoholism","Lord Fairfax Community Inc","512 South Braddock Street","","Winchester","VA","22601","","Winchester City","540-773-1566","","","","http://www.lordfairfaxhouse.com","39.1797482","-78.1688125","SU","1","","","","","","","","","","","1","","","1","","","","1","","","1","","","1","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","1","","1","1","1","","","1","","","1","1","1","1","","","1","","","1","","","1","1","1","","","","1","","","","1","","","1","1","1","","1","1","","1","","","1","","1","","1","","","","","","","","","","","","1","","","","","","","1","","","1","","","","","","","","","","1","1","1","","","","","","","","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Bridging the Gaps Inc","Substance Abuse and Outpatient Servs","31 South Braddock Street","Suite 1","Winchester","VA","22601","4144","Winchester City","540-535-1111","","","","http://www.bridgingthegaps.com","39.1836118","-78.1677103","SU","1","1","","","","1","","1","","","","1","","","","1","","","1","","1","1","1","","1","","","1","1","1","1","1","","","1","1","1","","","","","","","","","","","","1","1","1","","","1","","","","","1","","","","1","1","","","","","","1","","","","","","","","","1","1","","1","","","1","","","","","","1","","1","1","1","1","1","1","1","1","1","","","1","","","1","1","1","1","","","1","1","1","1","","","1","1","1","1","","","1","1","1","1","1","","1","1","1","1","","1","1","1","1","1","1","1","","1","1","1","1","","","1","","1","","1","","","1","","1","","","","","","","1","","1","","1","","","","1","","","1","1","1","","","1","","","","","1","","","","","","1","1","1","1","1","","","","","","1","","","","","","","","","","","","","","","","","","","",""
"Integrated Medical Services (IMS)","","1001 Berryville Avenue","","Winchester","VA","22601","","Winchester City","540-779-0607","","","","http://imscenters.com","39.1853169","-78.143106","SU","1","","","","1","","","1","","","","","","","","1","","","1","","1","1","1","","","1","","","1","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","1","1","","1","1","1","","","","","","1","1","1","1","1","1","1","","","1","1","1","1","1","1","1","","","","","","","","1","1","1","1","","1","1","1","1","1","","1","","","1","1","1","1","","","1","","","1","","","1","1","1","","1","","1","1","1","","","1","1","1","1","","1","1","1","","","1","","1","","1","","1","","1","","1","","1","1","1","","","1","","1","1","1","","1","","","","","","","","","","","","1","1","","1","1","","1","","1","","","","1","","","","","1","1","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"Fairfax/Falls Church Comm Servs Board","Crossroads","6901 South Van Dorn Street","","Alexandria","VA","22315","","Fairfax","703-324-7000","","703-383-8500","","http://www.fairfaxcounty.gov/community-services-board/","38.7704223","-77.1294967","SU","1","","","","1","","","1","1","1","","","","","","","","","","","","1","1","","1","","","1","","","1","","","","","","","","","","","","","","","","1","","1","1","","","","","","","","","1","1","1","","1","1","1","1","1","1","","","","","","","","","","","1","1","","","","","","","","","","","","","1","1","1","","1","","","1","","","","1","","","1","1","1","1","","","1","","","1","","","","1","1","","1","1","1","1","1","1","","","1","","1","1","","","1","1","","1","1","1","","1","1","1","","1","","1","","1","1","1","1","","","","1","","","","","","","1","","","1","","","","","","","1","1","1","1","1","","","1","","","","1","","","","","1","","1","1","","","","1","","","","1","","","","","","","","","","","","","","","","","","","",""
"Recovery Unplugged","Northern Virginia","5105 Backlick Road","Suite Q","Annandale","VA","22003","6005","Fairfax","703-997-2683 x3009","","844-889-9433","","http://www.recoveryunplugged.com","38.8138327","-77.1854977","SU","1","","","","","","1","1","1","","","","","","","1","","","1","","1","1","1","","1","","","","1","","","","","1","1","1","1","","","","","","","","","","","","1","","","","1","","","","","","1","","","","1","","","","","","","1","","","","","","","","","1","1","","1","","","1","1","","","","","","","1","1","1","1","1","1","","1","","","","1","","","1","1","1","1","1","","1","1","","1","","1","1","1","1","1","","","","","","","","","1","1","1","1","1","1","1","","1","","","1","","1","1","1","1","1","","1","","1","1","1","1","1","1","","1","","1","1","","","","1","1","","1","","","","","1","1","","","1","1","","","","","","","","1","","","","","","1","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Multicultural Clinical Center","","6563 Edsall Road","","Springfield","VA","22151","","Fairfax","703-354-0000 x109","","703-354-0000 x113","","http://www.mccva.com","38.8058496","-77.1711814","SU","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Fairfax Methadone Treatment Center","(FMTC)","7008 Little River Turnpike","Suite G","Annandale","VA","22003","","Fairfax","703-333-3113","","","800-440-6310","https://www.methadonetreatmentcenters.com/","38.8302795","-77.1861915","SU","1","","1","","1","","","1","","","1","","","","","","","1","1","","1","1","1","","1","","","","1","","","","","1","","","1","","","","","","","","","","","","1","","1","","","1","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","1","1","1","1","1","1","1","","","1","1","1","1","","","1","","","1","","","1","1","1","","","","","","1","","","","","","1","","","1","1","","","","1","1","","","","","1","","","1","1","1","","1","","","1","","","","","","1","","","","","","","","","","","","","1","","1","","","","","","","","","","","","1","1","","1","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"Inova CATS Program","Inpatient Detox","3300 Gallows Road","","Falls Church","VA","22042","","Fairfax","703-776-7760","","571-623-3500","","http://www.inova.org","38.8578938","-77.2284189","SU","1","1","","","","","1","1","1","1","1","","","","","","","1","1","","1","1","1","1","","","1","","","","","","","","","","","1","1","","1","","","","","","","","","","1","","1","1","","","","","1","1","1","","1","1","1","","","1","","1","","","","","","1","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","1","1","1","","1","1","","1","","1","","1","","","1","1","1","1","","","1","1","","1","","1","1","1","1","1","","","","1","1","1","","","1","","1","1","","1","1","1","","1","1","1","","","1","","1","1","","1","1","1","1","1","1","","","1","1","","","","","","","1","1","1","1","1","1","1","","1","1","","1","1","","","","1","","1","1","","1","","","1","1","1","1","1","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
